Index,Name,Field,Young,Type 1,Type 2,Target,Total,HP,ATK,DEF,SpATK,SpDEF,SPD,Ability 1,Ability 2,Ability Hidden,Stage,Evo Item,Learnset
1,Babymarutchi,N/A,N/A,Mystery,,200,360,60,60,60,60,60,60,Cute Charm,Rattled,Oblivious,1,,1:Tackle;1:Splash
2,Land Kid,Land,N/A,Mystery,,300,420,70,70,70,70,70,70,Cute Charm,Rattled,Oblivious,2,,0:Double Hit;5:Double Hit;8:Defense Curl;10:Flail
3,Roar (Land),Land,Roar,Mystery,,400,480,80,80,80,80,80,80,Pickup,Run Away,Frisk,3,savory food,0:Roar;12:Roar;16:Headbutt
4,Meowtchi,Land,Roar,Psychic,,580,580,80,90,80,130,80,120,Justified,,Indignation,4,vivid scent,0:Psybeam;18:Psybeam;22:Slash;26:Focus Energy;32:Psychic
5,Pochitchi,Land,Roar,Normal,,580,580,120,100,110,60,110,80,Guard Dog,,Simple,4,excite scent,0:Body Slam;18:Body Slam;22:Howl;26:Crunch;32:Protect
6,Gumax,Land,Roar,Fighting,,580,580,120,130,100,60,90,80,Huge Power,,,4,joy scent,0:Brick Break;18:Brick Break;22:Bulk Up;26:Glare;32:Revenge
7,Ratchi,Land,Roar,Dark,,580,580,90,120,70,100,60,140,Pickup,,Pickpocket,4,no scent,0:Thief;18:Thief;22:Fling;26:Agility;32:Sucker Punch
8,Toddle (Land),Land,Toddle,Mystery,,400,480,80,80,80,80,80,80,Pickup,Run Away,Frisk,3,leafy food,0:Fury Swipes;12:Fury Swipes;16:Bite
9,Mametchi,Land,Toddle,Psychic,,580,580,80,100,60,150,70,120,Trace,Unnerve,Analytic,4,vivid scent,0:Mind Reader;18:Mind Reader;22:Psybeam;26:Kinesis;32:Psyshock
10,Mimitchi,Land,Toddle,Fairy,,580,580,90,70,60,140,100,120,Magic Guard,,Magician,4,excite scent,0:Dazzling Gleam;18:Dazzling Gleam;22:Reflect;26:Misty Terrain;32:Moonblast
11,Molmotchi,Land,Toddle,Ground,,580,580,120,100,120,70,80,90,Cheek Pouch,,Cud Chew,4,joy scent,0:Stomping Tantrum;18:Stomping Tantrum;22:Stuff Cheeks;26:Dig;32:Mean Look
12,Sheeptchi,Land,Toddle,Normal,Electric,580,580,130,80,80,80,90,120,Fluffy,,,4,no scent,0:Spark;18:Spark;22:Stomp;26:Thunder Wave;32:Wild Charge
13,Lick (Land),Land,Lick,Mystery,,400,480,80,80,80,80,80,80,Pickup,Run Away,Frisk,3,gooey food,0:Lick;12:Lick;16:Tail Slap
14,Leopatchi,Land,Lick,Poison,,580,580,90,130,80,80,80,120,Poison Touch,,,4,vivid scent,0:Poison Tail;18:Poison Tail;22:Acid Armor;26:Stomping Tantrum;32:Gunk Shot
15,Sebiretchi,Land,Lick,Dragon,Fire,580,580,120,100,80,120,70,90,Gluttony,Thick Fat,,4,excite scent,0:Dragon Breath;18:Dragon Breath;22:Calm Mind;26:Ancient Power;32:Dragon Pulse
